timestamp,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GE,GR,HR,HU,IE,IT,LT,LU,LV,MD,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,UK,XK
2024-12-01 19:45:00+00:00,1327.0,7198.0,1700.0,9311.0,5404.0,7886.0,7631.0,53641.0,4637.0,988.0,28764.0,9652.0,55771.0,1768.0,5898.0,2274.0,5649.0,4400.0,32510.0,1487.0,594.0,860.0,775.0,471.0,1043.0,14662.0,16675.0,18462.0,6405.0,6519.0,4669.0,16849.0,1604.0,3169.0,1061.0,1132.0
2024-12-01 20:00:00+00:00,1205.0,7150.0,1609.0,9186.0,5174.0,7568.0,7501.0,53337.0,4532.0,939.0,28812.0,9866.0,53723.0,1644.0,5479.0,2286.0,5579.0,4297.0,30528.0,1458.0,586.0,801.0,701.0,451.0,1034.0,14459.0,16519.0,18382.0,6299.0,6417.0,4580.0,16388.0,1529.0,2992.0,1023.0,1149.0
2024-12-01 20:15:00+00:00,1205.0,7070.0,1609.0,9058.0,5174.0,7568.0,7459.0,53322.0,4532.0,939.0,28680.0,9944.0,53723.0,1644.0,5479.0,2292.0,5509.0,4297.0,30528.0,1425.0,580.0,801.0,701.0,451.0,1034.0,14301.0,16519.0,17899.0,6299.0,6291.0,4580.0,16388.0,1529.0,2992.0,1023.0,1149.0
2024-12-01 20:30:00+00:00,1205.0,6982.0,1609.0,9000.0,5174.0,7568.0,7393.0,52946.0,4532.0,939.0,28436.0,9929.0,53723.0,1644.0,5479.0,2267.0,5429.0,4272.0,30528.0,1433.0,571.0,801.0,701.0,451.0,1034.0,14119.0,16519.0,17695.0,6299.0,6183.0,4580.0,16388.0,1529.0,2992.0,995.0,1149.0
2024-12-01 20:45:00+00:00,1205.0,6925.0,1609.0,8884.0,5174.0,7568.0,7348.0,52814.0,4532.0,939.0,28224.0,9956.0,53723.0,1644.0,5479.0,2234.0,5387.0,4272.0,30528.0,1411.0,560.0,801.0,701.0,451.0,1034.0,13994.0,16519.0,17394.0,6299.0,6085.0,4580.0,16388.0,1529.0,2992.0,995.0,1149.0
2024-12-01 21:00:00+00:00,1033.0,7203.0,1451.0,8694.0,4805.0,7279.0,7344.0,52850.0,4380.0,873.0,27692.0,9881.0,54059.0,1551.0,5067.0,2189.0,5365.0,4161.0,28028.0,1381.0,566.0,736.0,621.0,413.0,1007.0,13735.0,16144.0,17460.0,5954.0,5989.0,4568.0,15692.0,1461.0,2867.0,956.0,1200.0
2024-12-01 21:15:00+00:00,1033.0,7138.0,1451.0,8702.0,4805.0,7279.0,7260.0,52693.0,4380.0,873.0,27220.0,9847.0,54059.0,1551.0,5067.0,2150.0,5286.0,4161.0,28028.0,1327.0,567.0,736.0,621.0,413.0,1007.0,13562.0,16144.0,17092.0,5954.0,5896.0,4568.0,15692.0,1461.0,2867.0,956.0,1200.0
2024-12-01 21:30:00+00:00,1033.0,7028.0,1451.0,8650.0,4805.0,7279.0,7173.0,51904.0,4380.0,873.0,26672.0,9717.0,54059.0,1551.0,5067.0,2102.0,5224.0,4040.0,28028.0,1299.0,555.0,736.0,621.0,413.0,1007.0,13334.0,16144.0,16919.0,5954.0,5808.0,4568.0,15692.0,1461.0,2867.0,943.0,1200.0
2024-12-01 21:45:00+00:00,1033.0,6906.0,1451.0,8551.0,4805.0,7279.0,7129.0,51394.0,4380.0,873.0,25996.0,9591.0,54059.0,1551.0,5067.0,2058.0,5208.0,4040.0,28028.0,1278.0,549.0,736.0,621.0,413.0,1007.0,13193.0,16144.0,16492.0,5954.0,5727.0,4568.0,15692.0,1461.0,2867.0,943.0,1200.0
2024-12-01 22:00:00+00:00,835.0,6896.0,1326.0,8503.0,4437.0,7178.0,7126.0,50898.0,4193.0,851.0,25284.0,9563.0,53965.0,1482.0,4571.0,1994.0,5170.0,3870.0,25233.0,1257.0,543.0,683.0,565.0,373.0,933.0,12961.0,15350.0,16462.0,5549.0,5687.0,4497.0,14922.0,1376.0,2739.0,907.0,1159.0
2024-12-01 22:15:00+00:00,835.0,6766.0,1326.0,8407.0,4437.0,7178.0,7019.0,50160.0,4193.0,851.0,24976.0,9462.0,53965.0,1482.0,4571.0,1931.0,5103.0,3870.0,25233.0,1239.0,536.0,683.0,565.0,373.0,933.0,12761.0,15350.0,15979.0,5549.0,5625.0,4497.0,14922.0,1376.0,2739.0,907.0,1159.0
2024-12-01 22:30:00+00:00,835.0,6665.0,1326.0,8364.0,4437.0,7178.0,6883.0,49663.0,4193.0,851.0,24352.0,9385.0,53965.0,1482.0,4571.0,1864.0,5073.0,3719.0,25233.0,1221.0,525.0,683.0,565.0,373.0,933.0,12556.0,15350.0,15807.0,5549.0,5554.0,4497.0,14922.0,1376.0,2739.0,858.0,1159.0
2024-12-01 22:45:00+00:00,835.0,6556.0,1326.0,8351.0,4437.0,7178.0,6764.0,48850.0,4193.0,851.0,23756.0,9327.0,53965.0,1482.0,4571.0,1809.0,5038.0,3719.0,25233.0,1207.0,518.0,683.0,565.0,373.0,933.0,12446.0,15350.0,15675.0,5549.0,5493.0,4497.0,14922.0,1376.0,2739.0,858.0,1159.0
2024-12-01 23:00:00+00:00,676.0,6646.0,1193.0,8279.0,4203.0,6951.0,6717.0,47947.0,4709.0,817.0,23276.0,9276.0,51572.0,1346.0,4259.0,1760.0,4918.0,3581.0,23095.0,1193.0,513.0,653.0,537.0,314.0,827.0,12419.0,15373.0,15463.0,5076.0,5453.0,4403.0,14743.0,1309.0,2633.0,786.0,1024.0
2024-12-01 23:15:00+00:00,676.0,6559.0,1193.0,8110.0,4203.0,6951.0,6693.0,47482.0,4709.0,817.0,23028.0,9169.0,51572.0,1346.0,4259.0,1725.0,4817.0,3581.0,23095.0,1184.0,505.0,653.0,537.0,314.0,827.0,12273.0,15373.0,15299.0,5076.0,5416.0,4403.0,14743.0,1309.0,2633.0,786.0,1024.0
2024-12-01 23:30:00+00:00,676.0,6493.0,1193.0,8080.0,4203.0,6951.0,6684.0,47197.0,4709.0,817.0,22604.0,9032.0,51572.0,1346.0,4259.0,1676.0,4727.0,3588.0,23095.0,1171.0,495.0,653.0,537.0,314.0,827.0,12172.0,15373.0,15127.0,5076.0,5378.0,4403.0,14743.0,1309.0,2633.0,738.0,1024.0
2024-12-01 23:45:00+00:00,676.0,6393.0,1193.0,8043.0,4203.0,6951.0,6771.0,46621.0,4709.0,817.0,22136.0,9094.0,51572.0,1346.0,4259.0,1650.0,4641.0,3588.0,23095.0,1166.0,490.0,653.0,537.0,314.0,827.0,12025.0,15373.0,15170.0,5076.0,5351.0,4403.0,14743.0,1309.0,2633.0,738.0,1024.0
2024-12-02 00:00:00+00:00,586.0,6361.0,1113.0,7856.0,4144.0,7175.0,6753.0,46215.0,4578.0,797.0,21576.0,9090.0,49347.0,1314.0,4164.0,1616.0,4606.0,3474.0,21836.0,1161.0,482.0,635.0,519.0,280.0,736.0,11883.0,14967.0,15043.0,4713.0,5318.0,4106.0,14573.0,1275.0,2538.0,667.0,875.0
2024-12-02 00:15:00+00:00,586.0,6285.0,1113.0,7780.0,4144.0,7175.0,6776.0,45618.0,4578.0,797.0,21304.0,9039.0,49347.0,1314.0,4164.0,1587.0,4527.0,3474.0,21836.0,1160.0,475.0,635.0,519.0,280.0,736.0,11789.0,14967.0,14921.0,4713.0,5294.0,4106.0,14573.0,1275.0,2538.0,667.0,875.0
2024-12-02 00:30:00+00:00,586.0,6225.0,1113.0,7708.0,4144.0,7175.0,6723.0,45407.0,4578.0,797.0,21072.0,8962.0,49347.0,1314.0,4164.0,1564.0,4486.0,3413.0,21836.0,1162.0,471.0,635.0,519.0,280.0,736.0,11711.0,14967.0,14948.0,4713.0,5283.0,4106.0,14573.0,1275.0,2538.0,610.0,875.0
2024-12-02 00:45:00+00:00,586.0,6184.0,1113.0,7737.0,4144.0,7175.0,6705.0,45232.0,4578.0,797.0,20744.0,8940.0,49347.0,1314.0,4164.0,1554.0,4440.0,3413.0,21836.0,1156.0,466.0,635.0,519.0,280.0,736.0,11628.0,14967.0,14747.0,4713.0,5265.0,4106.0,14573.0,1275.0,2538.0,610.0,875.0
2024-12-02 01:00:00+00:00,548.0,6220.0,1069.0,7689.0,4179.0,7126.0,6683.0,45232.0,4349.0,793.0,20620.0,8879.0,48293.0,1409.0,4000.0,1537.0,4428.0,3306.0,21344.0,1147.0,465.0,631.0,516.0,255.0,671.0,11614.0,14901.0,14760.0,4437.0,5261.0,3864.0,14915.0,1248.0,2582.0,573.0,779.0
2024-12-02 01:15:00+00:00,548.0,6191.0,1069.0,7644.0,4179.0,7126.0,6588.0,45340.0,4349.0,793.0,20276.0,8873.0,48293.0,1409.0,4000.0,1522.0,4441.0,3306.0,21344.0,1139.0,463.0,631.0,516.0,255.0,671.0,11511.0,14901.0,14624.0,4437.0,5261.0,3864.0,14915.0,1248.0,2582.0,573.0,779.0
2024-12-02 01:30:00+00:00,548.0,6181.0,1069.0,7534.0,4179.0,7126.0,6588.0,44987.0,4349.0,793.0,20188.0,8867.0,48293.0,1409.0,4000.0,1519.0,4436.0,3265.0,21344.0,1142.0,460.0,631.0,516.0,255.0,671.0,11505.0,14901.0,14610.0,4437.0,5261.0,3864.0,14915.0,1248.0,2582.0,539.0,779.0
